rang,product_name,brand,category,department,nb_commandes,ca,marge_brute,taux_marge_pct,taux_remise_pct
1,4 Ply Shephe Men's Mock Turtleneck Cashmere Sweater,Shephe,Sweaters,Men,9,1989.0,982.57,49.4,0.0
2,Men's Henningsvaer Norwegian Wool Pullover,Overland Sheepskin Co,Sweaters,Men,5,1690.0,863.59,51.1,0.0
3,Magaschoni Women's 100% Cashmere Turtleneck Tunic Sweater,Magaschoni,Sweaters,Women,5,1600.0,803.2,50.2,0.0
4,Mara Hoffman Women's Intarsia Pullover,Mara Hoffman,Sweaters,Women,5,1572.75,842.99,53.6,0.0
5,Fred Perry Men's Crew Neck Sweater,Fred Perry,Sweaters,Men,12,1201.96,571.49,47.47,0.0
6,Icebreaker Men's Orion Cardigan,Icebreaker,Sweaters,Men,5,1200.0,576.0,48.0,0.0
7,Handknit Men's Aran Zip Cardigan,Blarney Woollen Mills,Sweaters,Men,8,1192.0,553.09,46.4,0.0
8,Vince Mens Wool Cardigan Sweater XX-Large With Cashmere Hood,Vince,Fashion Hoodies & Sweatshirts,Men,6,1110.0,483.96,43.6,0.0
9,G-Star Men's RCT Nostra Vest Long Sleeve,G-Star,Fashion Hoodies & Sweatshirts,Men,7,1050.0,455.7,43.4,0.0
10,Diesel Men's K-Niele Sweater,Diesel,Sweaters,Men,7,1049.58,572.02,54.5,0.0
