mois,nb_commandes,ca,taux_marge_pct,ca_mois_precedent,croissance_ca_pct
2025-01,470,30821.72,49.61,,
2025-02,506,35265.55,49.96,30821.72,14.42
2025-03,552,36637.44,49.99,35265.55,3.89
2025-04,519,33741.91,50.26,36637.44,-7.9
2025-05,567,37811.39,49.77,33741.91,12.06
2025-06,596,42317.47,50.12,37811.39,11.92
2025-07,633,41973.04,50.3,42317.47,-0.81
2025-08,656,43065.36,49.77,41973.04,2.6
2025-09,684,44250.22,50.17,43065.36,2.75
2025-10,751,50100.39,50.15,44250.22,13.22
2025-11,792,52317.25,50.31,50100.39,4.42
2025-12,933,60537.66,50.1,52317.25,15.71
2026-01,1071,75308.93,49.75,60537.66,24.4
2026-02,1551,102919.53,50.01,75308.93,36.66
